video_id,video_url,ranking,query,sort_by_filter,label
dcb9G775KaY,https://www.youtube.com/watch?v=dcb9G775KaY,10,overdose fentanyl,viewCount,0
tXhrNhZ-wbs,https://www.youtube.com/watch?v=tXhrNhZ-wbs,4,what is fentanyl,rating,0
DyjRxf-aJN4,https://www.youtube.com/watch?v=DyjRxf-aJN4,5,fentanyl addict,rating,1
JK0-NBNN-Q4,https://www.youtube.com/watch?v=JK0-NBNN-Q4,9,herion,date,2
o1yUKfvnqRQ,https://www.youtube.com/watch?v=o1yUKfvnqRQ,2,codeine,relevance,-1
3fdP1YolYyo,https://www.youtube.com/watch?v=3fdP1YolYyo,2,codine,date,0
TRn8vFOimXc,https://www.youtube.com/watch?v=TRn8vFOimXc,4,codein,relevance,-1
1IJ9NUWqD5g,https://www.youtube.com/watch?v=1IJ9NUWqD5g,8,kratom withdrawal,rating,0
6F6d10ggVDw,https://www.youtube.com/watch?v=6F6d10ggVDw,2,kratom,relevance,0
E9jKyHjPbUg,https://www.youtube.com/watch?v=E9jKyHjPbUg,10,what is kratom,relevance,0
m2dl8wZE4ZA,https://www.youtube.com/watch?v=m2dl8wZE4ZA,7,what is kratom,rating,0
o6jjjho9CM8,https://www.youtube.com/watch?v=o6jjjho9CM8,9,red kratom,relevance,0
QtRQ9UD7rpY,https://www.youtube.com/watch?v=QtRQ9UD7rpY,5,best kratom,date,0
AnUN2Zs4Mnk,https://www.youtube.com/watch?v=AnUN2Zs4Mnk,6,best kratom,rating,0
BlP6OhUKWxs,https://www.youtube.com/watch?v=BlP6OhUKWxs,8,kratom tea,date,0
7PT0gv6a97o,https://www.youtube.com/watch?v=7PT0gv6a97o,6,kratom high,date,0
tjvx2TxjoNw,https://www.youtube.com/watch?v=tjvx2TxjoNw,4,kratom effects,rating,0
ZDG9HHw1aFQ,https://www.youtube.com/watch?v=ZDG9HHw1aFQ,3,narcan video,viewCount,0
KwX9Pmqw1Sw,https://www.youtube.com/watch?v=KwX9Pmqw1Sw,2,narcan use,date,-1
JX2Nbdqj4Oo,https://www.youtube.com/watch?v=JX2Nbdqj4Oo,7,narcan overdose,date,0
N39ItZXZQ0U,https://www.youtube.com/watch?v=N39ItZXZQ0U,9,nasal narcan,relevance,-1
Sm5Tbb8YcgQ,https://www.youtube.com/watch?v=Sm5Tbb8YcgQ,6,naloxone,viewCount,-1
rLQoaQF3QBc,https://www.youtube.com/watch?v=rLQoaQF3QBc,8,narcan rescue,date,-1
C2_htOYEeGw,https://www.youtube.com/watch?v=C2_htOYEeGw,3,narcan reaction,relevance,0
AGU-BM6dRqM,https://www.youtube.com/watch?v=AGU-BM6dRqM,10,suboxone,relevance,-1
D8EKqpD6N1s,https://www.youtube.com/watch?v=D8EKqpD6N1s,8,suboxone,date,0
HMchXc5lemU,https://www.youtube.com/watch?v=HMchXc5lemU,6,suboxone withdrawal,relevance,-1
pXYZgeDaMqE,https://www.youtube.com/watch?v=pXYZgeDaMqE,5,suboxone withdrawal,viewCount,1
ARY2MYDCpys,https://www.youtube.com/watch?v=ARY2MYDCpys,7,suboxone withdrawal,viewCount,1
W-7_alg4I28,https://www.youtube.com/watch?v=W-7_alg4I28,3,how to take suboxone,rating,0
0hmJB24vwEI,https://www.youtube.com/watch?v=0hmJB24vwEI,6,how to take suboxone,rating,-1
5Y8w_RHWNPk,https://www.youtube.com/watch?v=5Y8w_RHWNPk,7,how to take suboxone,rating,-1
UUu7NZyHgd0,https://www.youtube.com/watch?v=UUu7NZyHgd0,1,taking suboxone,rating,1
q2wADmZq_Qs,https://www.youtube.com/watch?v=q2wADmZq_Qs,5,taking suboxone,rating,-1
qBT2hbXm9wY,https://www.youtube.com/watch?v=qBT2hbXm9wY,8,suboxone clinic,relevance,-1
MYVLTNaycc0,https://www.youtube.com/watch?v=MYVLTNaycc0,1,how does suboxone work,date,-1
tI7Bnqw25cE,https://www.youtube.com/watch?v=tI7Bnqw25cE,6,how does suboxone work,rating,-1
Jt5ff7XYZzM,https://www.youtube.com/watch?v=Jt5ff7XYZzM,3,suboxone detox,relevance,-1
mMSF07j5A_I,https://www.youtube.com/watch?v=mMSF07j5A_I,10,suboxone detox,relevance,1
m_uV8UkTDKw,https://www.youtube.com/watch?v=m_uV8UkTDKw,8,suboxone detox,rating,1
JqqfI-bIvnI,https://www.youtube.com/watch?v=JqqfI-bIvnI,1,fentanyl,relevance,0
Z2N2jqTkUlo,https://www.youtube.com/watch?v=Z2N2jqTkUlo,5,fentanyl,viewCount,0
Z1bs3Wm6DlY,https://www.youtube.com/watch?v=Z1bs3Wm6DlY,6,what is fentanyl,relevance,0
cZsDl1JtQq8,https://www.youtube.com/watch?v=cZsDl1JtQq8,9,fentanyl documentary,relevance,-1
uQeGNSOxAlo,https://www.youtube.com/watch?v=uQeGNSOxAlo,4,fentanyl crisis,date,-1
UchuDFwsRZk,https://www.youtube.com/watch?v=UchuDFwsRZk,5,fentanyl crisis,rating,0
XLZbS92Dqp0,https://www.youtube.com/watch?v=XLZbS92Dqp0,9,fentanyl addict,date,1
mw1yq2X00Pk,https://www.youtube.com/watch?v=mw1yq2X00Pk,10,percocet,viewCount,1
VZ22lfTxoX4,https://www.youtube.com/watch?v=VZ22lfTxoX4,7,oxy,rating,2
yuSCNjMNXjg,https://www.youtube.com/watch?v=yuSCNjMNXjg,8,oxy,rating,2
EuxbyvchI2c,https://www.youtube.com/watch?v=EuxbyvchI2c,9,oxycotin,rating,1
X3UKcHR-2uU,https://www.youtube.com/watch?v=X3UKcHR-2uU,4,on heroin,relevance,-1
p668TNwW1sc,https://www.youtube.com/watch?v=p668TNwW1sc,8,codeine,relevance,0
ltVDZNPFiiE,https://www.youtube.com/watch?v=ltVDZNPFiiE,10,codeine,relevance,-1
AqNetM7OWj0,https://www.youtube.com/watch?v=AqNetM7OWj0,3,kratom withdrawal,viewCount,0
nmMCQ1y8l14,https://www.youtube.com/watch?v=nmMCQ1y8l14,7,kratom withdrawal,viewCount,1
l9-TrCUTg_0,https://www.youtube.com/watch?v=l9-TrCUTg_0,2,kratom,viewCount,0
mu9qPW6BXII,https://www.youtube.com/watch?v=mu9qPW6BXII,1,what is kratom,date,0
Un54al2ee-4,https://www.youtube.com/watch?v=Un54al2ee-4,4,red kratom,relevance,0
4b35ZLVEZeM,https://www.youtube.com/watch?v=4b35ZLVEZeM,1,kratom tea,relevance,0
1581OFx8ihg,https://www.youtube.com/watch?v=1581OFx8ihg,7,kratom benefits,date,0
Pzu_Q18Vft0,https://www.youtube.com/watch?v=Pzu_Q18Vft0,10,kratom benefits,date,0
LA1XDO1_7eQ,https://www.youtube.com/watch?v=LA1XDO1_7eQ,6,narcan,rating,-1
W_F4rbFGGKQ,https://www.youtube.com/watch?v=W_F4rbFGGKQ,7,narcan use,date,-1
xKvQj5wsleU,https://www.youtube.com/watch?v=xKvQj5wsleU,7,narcan use,rating,1
RV055WcgC0Q,https://www.youtube.com/watch?v=RV055WcgC0Q,8,how to use narcan,rating,-1
zqMInaEU_eo,https://www.youtube.com/watch?v=zqMInaEU_eo,9,narcan rescue,date,0
Mv9zPXbdJ20,https://www.youtube.com/watch?v=Mv9zPXbdJ20,2,narcan saves life,relevance,0
0ilV-xKR3_Q,https://www.youtube.com/watch?v=0ilV-xKR3_Q,1,suboxone,rating,0
mpxvJ0d0J9E,https://www.youtube.com/watch?v=mpxvJ0d0J9E,10,suboxone,rating,1
h1ymBlRPnzM,https://www.youtube.com/watch?v=h1ymBlRPnzM,5,suboxone withdrawal,relevance,1
J4jCb-kflio,https://www.youtube.com/watch?v=J4jCb-kflio,8,how to take suboxone,relevance,-1
wqgI9gUsRqQ,https://www.youtube.com/watch?v=wqgI9gUsRqQ,8,how to take suboxone,date,-1
uAaKwAfI2js,https://www.youtube.com/watch?v=uAaKwAfI2js,10,how to take suboxone,rating,-1
MVE-V4JrTF4,https://www.youtube.com/watch?v=MVE-V4JrTF4,8,taking suboxone,rating,1
RY-xxnE_7d4,https://www.youtube.com/watch?v=RY-xxnE_7d4,6,suboxone clinic,relevance,-1
G50s1vU97wk,https://www.youtube.com/watch?v=G50s1vU97wk,6,suboxone clinic,date,-1
fWuS8j_OeEs,https://www.youtube.com/watch?v=fWuS8j_OeEs,10,suboxone clinic,date,-1
WNXieqey_iQ,https://www.youtube.com/watch?v=WNXieqey_iQ,8,how does suboxone work,relevance,-1
VCQocVnsDcI,https://www.youtube.com/watch?v=VCQocVnsDcI,9,suboxone detox,relevance,0
xXplHkdgKj0,https://www.youtube.com/watch?v=xXplHkdgKj0,4,overdose fentanyl,relevance,0
DHMJ8JT5G5A,https://www.youtube.com/watch?v=DHMJ8JT5G5A,3,fentailo,relevance,2
7BFedoyDd-E,https://www.youtube.com/watch?v=7BFedoyDd-E,4,fentailo,relevance,-1
YJI9LnT-WdA,https://www.youtube.com/watch?v=YJI9LnT-WdA,5,fentynal,rating,0
NDVV_M__CSI,https://www.youtube.com/watch?v=NDVV_M__CSI,2,percocet,relevance,-1
2YUtf9WUvIk,https://www.youtube.com/watch?v=2YUtf9WUvIk,5,oxycotton,rating,2
bSiZPR6zUrA,https://www.youtube.com/watch?v=bSiZPR6zUrA,7,heroin addict,relevance,-1
IBQMNg517Ug,https://www.youtube.com/watch?v=IBQMNg517Ug,7,heroin addict,viewCount,1
fYN14UfO-Uc,https://www.youtube.com/watch?v=fYN14UfO-Uc,1,heroin drug,viewCount,0
CD8rDufLSh4,https://www.youtube.com/watch?v=CD8rDufLSh4,10,heroin drug,rating,-1
-bmp4QWzHak,https://www.youtube.com/watch?v=-bmp4QWzHak,10,codeine,viewCount,2
bq009mOzalM,https://www.youtube.com/watch?v=bq009mOzalM,6,codeine,rating,0
1-aHVR2_nO4,https://www.youtube.com/watch?v=1-aHVR2_nO4,9,codien,rating,2
Nfm27EQ5kBc,https://www.youtube.com/watch?v=Nfm27EQ5kBc,2,codeine pills,date,0
Buydv-PGFqs,https://www.youtube.com/watch?v=Buydv-PGFqs,5,kratom withdrawal,date,0
3byDHCAupJ0,https://www.youtube.com/watch?v=3byDHCAupJ0,4,kratom,viewCount,0
ugqQrBsrL-U,https://www.youtube.com/watch?v=ugqQrBsrL-U,6,kratom,viewCount,0
gpyXAOG7BAA,https://www.youtube.com/watch?v=gpyXAOG7BAA,8,best kratom,relevance,0
nbYA4CVPF2A,https://www.youtube.com/watch?v=nbYA4CVPF2A,6,kratom high,rating,0
HqKJ2ABriy0,https://www.youtube.com/watch?v=HqKJ2ABriy0,8,kratom effects,date,0
Dxo3oSYRqMg,https://www.youtube.com/watch?v=Dxo3oSYRqMg,7,narcan,viewCount,1
dNZ3FPmIY0Y,https://www.youtube.com/watch?v=dNZ3FPmIY0Y,10,narcan,rating,-1
VaaW1jCsARQ,https://www.youtube.com/watch?v=VaaW1jCsARQ,9,narcan training,viewCount,-1
kxOf8mAzqns,https://www.youtube.com/watch?v=kxOf8mAzqns,1,narcan use,date,-1
pct8qxREuSY,https://www.youtube.com/watch?v=pct8qxREuSY,4,how to use narcan,rating,0
JJmCfseNtsU,https://www.youtube.com/watch?v=JJmCfseNtsU,6,naloxone,relevance,0
H-y1wJhb4i8,https://www.youtube.com/watch?v=H-y1wJhb4i8,7,naloxone,rating,0
9460UTRrIOo,https://www.youtube.com/watch?v=9460UTRrIOo,3,narcan rescue,rating,0
9IMOSJGgoQc,https://www.youtube.com/watch?v=9IMOSJGgoQc,1,narcan saves life,date,-1
gqkAuYVYMFo,https://www.youtube.com/watch?v=gqkAuYVYMFo,3,narcan saves life,rating,0
exkRrEGdOyY,https://www.youtube.com/watch?v=exkRrEGdOyY,6,narcan saves life,rating,0
TcKe9MlAwKY,https://www.youtube.com/watch?v=TcKe9MlAwKY,3,suboxone,relevance,0
4EcClL5yETc,https://www.youtube.com/watch?v=4EcClL5yETc,6,suboxone,relevance,-1
IsHBw6gBpSw,https://www.youtube.com/watch?v=IsHBw6gBpSw,9,suboxone,relevance,-1
yBUu-m9zDK8,https://www.youtube.com/watch?v=yBUu-m9zDK8,10,suboxone,viewCount,-1
MSuhNh2pZBY,https://www.youtube.com/watch?v=MSuhNh2pZBY,10,suboxone withdrawal,rating,-1
nB7AmsGvCbw,https://www.youtube.com/watch?v=nB7AmsGvCbw,10,how to take suboxone,viewCount,0
Jc-buPCKisM,https://www.youtube.com/watch?v=Jc-buPCKisM,1,how to take suboxone,date,-1
FmGalSsq63k,https://www.youtube.com/watch?v=FmGalSsq63k,10,how to take suboxone,date,-1
DiuJG3U_Oi0,https://www.youtube.com/watch?v=DiuJG3U_Oi0,10,taking suboxone,viewCount,-1
riI1jqAUH3Q,https://www.youtube.com/watch?v=riI1jqAUH3Q,2,taking suboxone,date,-1
wpFi-h1sS64,https://www.youtube.com/watch?v=wpFi-h1sS64,7,taking suboxone,date,-1
b4RcT41AdSM,https://www.youtube.com/watch?v=b4RcT41AdSM,9,suboxone clinic,viewCount,-1
CCsWv1AkoRY,https://www.youtube.com/watch?v=CCsWv1AkoRY,8,suboxone clinic,date,-1
bnYMze8rWlc,https://www.youtube.com/watch?v=bnYMze8rWlc,2,suboxone clinic,rating,-1
c6JMK1hjNlQ,https://www.youtube.com/watch?v=c6JMK1hjNlQ,5,how does suboxone work,date,-1
t1JFQ2nFc08,https://www.youtube.com/watch?v=t1JFQ2nFc08,8,how does suboxone work,date,-1
JRV0S9X4UZg,https://www.youtube.com/watch?v=JRV0S9X4UZg,10,how does suboxone work,date,1
tKf3c3Xfz1U,https://www.youtube.com/watch?v=tKf3c3Xfz1U,9,how does suboxone work,rating,-1
xUKogx1pFlo,https://www.youtube.com/watch?v=xUKogx1pFlo,7,suboxone detox,rating,1
TnYHKxUHgCs,https://www.youtube.com/watch?v=TnYHKxUHgCs,3,suboxone high,relevance,-1
eGy5KTbUANU,https://www.youtube.com/watch?v=eGy5KTbUANU,7,suboxone high,rating,1
DiVVMqgJ03I,https://www.youtube.com/watch?v=DiVVMqgJ03I,10,suboxone high,rating,-1
SjCZwqEE22Y,https://www.youtube.com/watch?v=SjCZwqEE22Y,10,suboxone taper,relevance,-1
cFjxycLN6ks,https://www.youtube.com/watch?v=cFjxycLN6ks,6,suboxone taper,rating,-1
EI6olrQ5o6U,https://www.youtube.com/watch?v=EI6olrQ5o6U,1,what is suboxone,relevance,-1
O7oRENsWKeU,https://www.youtube.com/watch?v=O7oRENsWKeU,8,what is suboxone,viewCount,-1
pdIa_Abfc80,https://www.youtube.com/watch?v=pdIa_Abfc80,10,what is suboxone,viewCount,0
A_wF5fWPi58,https://www.youtube.com/watch?v=A_wF5fWPi58,6,what is suboxone,date,-1
0CCr-8kJ7Bw,https://www.youtube.com/watch?v=0CCr-8kJ7Bw,9,what is suboxone,rating,-1
HEuMgGJ6B48,https://www.youtube.com/watch?v=HEuMgGJ6B48,8,suboxone film,viewCount,-1
Rs-DK982u6s,https://www.youtube.com/watch?v=Rs-DK982u6s,9,suboxone film,viewCount,1
_y8DGjkP1so,https://www.youtube.com/watch?v=_y8DGjkP1so,10,suboxone film,date,-1
Jowvf4RjIXQ,https://www.youtube.com/watch?v=Jowvf4RjIXQ,6,suboxone film,rating,0
_ZS5b-MMqtI,https://www.youtube.com/watch?v=_ZS5b-MMqtI,2,methadone clinic,date,1
K4kaB34jSm8,https://www.youtube.com/watch?v=K4kaB34jSm8,9,methadone withdrawal,relevance,-1
8EBVhRQBOCA,https://www.youtube.com/watch?v=8EBVhRQBOCA,5,what is methadone,date,0
HTpYWe0DQmM,https://www.youtube.com/watch?v=HTpYWe0DQmM,3,methadone high,relevance,-1
bDU8VCAiOw8,https://www.youtube.com/watch?v=bDU8VCAiOw8,7,methadone high,viewCount,1
uhZb1-KHneE,https://www.youtube.com/watch?v=uhZb1-KHneE,5,methadone high,date,0
s_pRi37yLBQ,https://www.youtube.com/watch?v=s_pRi37yLBQ,1,how to use narcan,viewCount,0
1bKC2QnXCtk,https://www.youtube.com/watch?v=1bKC2QnXCtk,10,how to use narcan,date,0
VxV4x-stz8Y,https://www.youtube.com/watch?v=VxV4x-stz8Y,7,nasal narcan,relevance,0
Jis6NlZMV2c,https://www.youtube.com/watch?v=Jis6NlZMV2c,9,nasal narcan,viewCount,0
DjTDFgDzH9o,https://www.youtube.com/watch?v=DjTDFgDzH9o,8,naloxone,viewCount,0
ctXutXKmfTE,https://www.youtube.com/watch?v=ctXutXKmfTE,2,suboxone,relevance,-1
BAY7zAS2MVo,https://www.youtube.com/watch?v=BAY7zAS2MVo,5,suboxone,relevance,0
tKhNB0nYrUE,https://www.youtube.com/watch?v=tKhNB0nYrUE,10,suboxone withdrawal,relevance,1
3Wy_eH3RzgI,https://www.youtube.com/watch?v=3Wy_eH3RzgI,2,suboxone withdrawal,rating,1
N8Esdv2IbWw,https://www.youtube.com/watch?v=N8Esdv2IbWw,6,suboxone withdrawal,rating,-1
4F9QSJAWFeg,https://www.youtube.com/watch?v=4F9QSJAWFeg,2,how to take suboxone,viewCount,-1
IRv65okZCnc,https://www.youtube.com/watch?v=IRv65okZCnc,4,how to take suboxone,viewCount,1
OVf8ZIv8Stc,https://www.youtube.com/watch?v=OVf8ZIv8Stc,5,how to take suboxone,rating,-1
-MtmTAAaY80,https://www.youtube.com/watch?v=-MtmTAAaY80,7,taking suboxone,rating,0
kb1UgNYeEOY,https://www.youtube.com/watch?v=kb1UgNYeEOY,10,suboxone clinic,relevance,-1
kA4y2iyV6lI,https://www.youtube.com/watch?v=kA4y2iyV6lI,3,suboxone clinic,viewCount,-1
ClCFwxKuIBM,https://www.youtube.com/watch?v=ClCFwxKuIBM,2,how does suboxone work,viewCount,-1
fTcGyWDDg5s,https://www.youtube.com/watch?v=fTcGyWDDg5s,10,how does suboxone work,viewCount,0
81et40gme-U,https://www.youtube.com/watch?v=81et40gme-U,7,how does suboxone work,date,-1
awsIWHoVct8,https://www.youtube.com/watch?v=awsIWHoVct8,1,suboxone detox,viewCount,-1
o9lZ7qzvWrI,https://www.youtube.com/watch?v=o9lZ7qzvWrI,5,suboxone detox,rating,0
4C6dJWV7v1g,https://www.youtube.com/watch?v=4C6dJWV7v1g,9,suboxone high,date,-1
zoGF27vzZ-s,https://www.youtube.com/watch?v=zoGF27vzZ-s,5,suboxone high,rating,-1
LDHRcOgy5Mc,https://www.youtube.com/watch?v=LDHRcOgy5Mc,6,suboxone taper,date,0
19NwwGohgVI,https://www.youtube.com/watch?v=19NwwGohgVI,8,suboxone taper,date,0
n1u1s-6jtgs,https://www.youtube.com/watch?v=n1u1s-6jtgs,9,suboxone taper,date,1
wLNZDbMwcUA,https://www.youtube.com/watch?v=wLNZDbMwcUA,10,suboxone taper,date,1
apG_jN1KCR0,https://www.youtube.com/watch?v=apG_jN1KCR0,2,suboxone strips,date,0
HefRfvBKmvo,https://www.youtube.com/watch?v=HefRfvBKmvo,3,what is suboxone,viewCount,-1
LAhF3OrXA2U,https://www.youtube.com/watch?v=LAhF3OrXA2U,9,what is suboxone,viewCount,-1
NwUII6syIt0,https://www.youtube.com/watch?v=NwUII6syIt0,3,what is suboxone,date,-1
-84OqhQb3j4,https://www.youtube.com/watch?v=-84OqhQb3j4,7,what is suboxone,date,-1
tGVENHGSNf4,https://www.youtube.com/watch?v=tGVENHGSNf4,3,what is suboxone,rating,-1
fV-LLMZTjGA,https://www.youtube.com/watch?v=fV-LLMZTjGA,6,suboxone film,date,-1
mPm9BLFHgwQ,https://www.youtube.com/watch?v=mPm9BLFHgwQ,2,methadone,relevance,-1
3xSjySt3oH4,https://www.youtube.com/watch?v=3xSjySt3oH4,5,methadone clinic,relevance,-1
SZvhqcbXVaI,https://www.youtube.com/watch?v=SZvhqcbXVaI,9,methadone detox,rating,1
rzMFyOltqhc,https://www.youtube.com/watch?v=rzMFyOltqhc,7,what is methadone,relevance,-1
qq1p0gp1YQI,https://www.youtube.com/watch?v=qq1p0gp1YQI,6,what is methadone,date,0
7gtWuoWGQWM,https://www.youtube.com/watch?v=7gtWuoWGQWM,8,what is methadone,date,0
aRElNVPdBpk,https://www.youtube.com/watch?v=aRElNVPdBpk,3,what is methadone,rating,1
8I86HIkwIuQ,https://www.youtube.com/watch?v=8I86HIkwIuQ,6,house methadone,relevance,1
QZQLfAorFjs,https://www.youtube.com/watch?v=QZQLfAorFjs,8,house methadone,date,2
kkMtfNV23Fs,https://www.youtube.com/watch?v=kkMtfNV23Fs,6,methadone addiction,relevance,-1
Jz869peR54s,https://www.youtube.com/watch?v=Jz869peR54s,7,methadone addiction,viewCount,-1
fgSLEakjlAs,https://www.youtube.com/watch?v=fgSLEakjlAs,10,methadone addiction,viewCount,-1
4ex--ssXGxo,https://www.youtube.com/watch?v=4ex--ssXGxo,8,methadone clinic experience,relevance,-1
Xbj0Ap3zrtk,https://www.youtube.com/watch?v=Xbj0Ap3zrtk,5,methadone clinic experience,date,1
Twbx3IPPBR0,https://www.youtube.com/watch?v=Twbx3IPPBR0,4,methadone clinic experience,rating,0
hMjub6UtWV0,https://www.youtube.com/watch?v=hMjub6UtWV0,6,methadone nursing,relevance,-1
JczoO7ogOS8,https://www.youtube.com/watch?v=JczoO7ogOS8,5,suboxone detox,viewCount,1
RZsff3VR4Jo,https://www.youtube.com/watch?v=RZsff3VR4Jo,1,suboxone detox,date,0
2tN73iD_nNw,https://www.youtube.com/watch?v=2tN73iD_nNw,1,suboxone taper,date,-1
UWNtYymIBSU,https://www.youtube.com/watch?v=UWNtYymIBSU,3,suboxone taper,date,0
QYtFIdf2TN0,https://www.youtube.com/watch?v=QYtFIdf2TN0,10,suboxone taper,rating,1
UfQWOGOFNFA,https://www.youtube.com/watch?v=UfQWOGOFNFA,6,suboxone strips,rating,-1
52bXzjYjGtA,https://www.youtube.com/watch?v=52bXzjYjGtA,10,suboxone film,relevance,-1
zN9NDZ6lgaM,https://www.youtube.com/watch?v=zN9NDZ6lgaM,9,methadone,viewCount,1
HqScXW4hrH4,https://www.youtube.com/watch?v=HqScXW4hrH4,7,methadone clinic,viewCount,-1
-3G162dqVVI,https://www.youtube.com/watch?v=-3G162dqVVI,6,methadone clinic,rating,1
kYQmbsaOUEA,https://www.youtube.com/watch?v=kYQmbsaOUEA,8,methadone clinic,rating,-1
gXMt94hLolM,https://www.youtube.com/watch?v=gXMt94hLolM,5,what is methadone,relevance,-1
sZ5-i72Yl2Q,https://www.youtube.com/watch?v=sZ5-i72Yl2Q,9,what is methadone,viewCount,1
5SVA7U83A68,https://www.youtube.com/watch?v=5SVA7U83A68,6,what is methadone,rating,0
MBjbO6zCkAY,https://www.youtube.com/watch?v=MBjbO6zCkAY,6,house methadone,viewCount,2
0hR2Hwkhey8,https://www.youtube.com/watch?v=0hR2Hwkhey8,3,house methadone,date,0
lP9btLujW2M,https://www.youtube.com/watch?v=lP9btLujW2M,3,methadone high,rating,-1
uH39H1oq8p0,https://www.youtube.com/watch?v=uH39H1oq8p0,8,methadone clinic experience,viewCount,0
EkXMCmH-b1Y,https://www.youtube.com/watch?v=EkXMCmH-b1Y,8,methadone clinic experience,rating,1
0y55ymuJ2K4,https://www.youtube.com/watch?v=0y55ymuJ2K4,9,methadone clinic experience,rating,1
_Gv-7yHScco,https://www.youtube.com/watch?v=_Gv-7yHScco,9,fentanyl,relevance,-1
JPpdnX_-KO8,https://www.youtube.com/watch?v=JPpdnX_-KO8,2,what is fentanyl,date,0
WFbahc_TNLE,https://www.youtube.com/watch?v=WFbahc_TNLE,9,what is fentanyl,date,0
bpAi70WWBlw,https://www.youtube.com/watch?v=bpAi70WWBlw,2,fentanyl documentary,viewCount,0
7xk7QgjZT0w,https://www.youtube.com/watch?v=7xk7QgjZT0w,2,fentanyl addict,rating,0
x9ishk6mIxc,https://www.youtube.com/watch?v=x9ishk6mIxc,6,fentynal,rating,0
LsBUjYCJbR0,https://www.youtube.com/watch?v=LsBUjYCJbR0,5,oxy,relevance,2
GJc-YI7OWfY,https://www.youtube.com/watch?v=GJc-YI7OWfY,6,oxycotin,viewCount,-1
GTnj09HBVTU,https://www.youtube.com/watch?v=GTnj09HBVTU,4,heroin addict,date,1
RD0_nSUoER4,https://www.youtube.com/watch?v=RD0_nSUoER4,9,heroin addict,date,-1
79mGeo5lz1E,https://www.youtube.com/watch?v=79mGeo5lz1E,4,heroin addict,rating,0
jO7HRfidUuY,https://www.youtube.com/watch?v=jO7HRfidUuY,9,on heroin,date,1
bczHLJ6ClbQ,https://www.youtube.com/watch?v=bczHLJ6ClbQ,1,heroin,relevance,-1
ZMMFWPl6ue4,https://www.youtube.com/watch?v=ZMMFWPl6ue4,8,heroin,relevance,-1
F7tRt7EuPJQ,https://www.youtube.com/watch?v=F7tRt7EuPJQ,3,heroin,viewCount,2
ELErUzWvyb4,https://www.youtube.com/watch?v=ELErUzWvyb4,3,heroin,date,0
E9xjvF3jefU,https://www.youtube.com/watch?v=E9xjvF3jefU,4,heroin,rating,2
km_5DwLMAgc,https://www.youtube.com/watch?v=km_5DwLMAgc,4,heroin drug,relevance,0
gyfaVBdktgA,https://www.youtube.com/watch?v=gyfaVBdktgA,7,heroin drug,date,0
h4oDbDcKWnM,https://www.youtube.com/watch?v=h4oDbDcKWnM,10,kratom withdrawal,viewCount,-1
ZcBvY6Y5IlQ,https://www.youtube.com/watch?v=ZcBvY6Y5IlQ,3,kratom withdrawal,date,0
P9SIjuHaiXA,https://www.youtube.com/watch?v=P9SIjuHaiXA,1,kratom,viewCount,0
GI3blNNe56w,https://www.youtube.com/watch?v=GI3blNNe56w,3,kratom,rating,0
oJKSRRjSkqE,https://www.youtube.com/watch?v=oJKSRRjSkqE,6,best kratom,date,0
